building_name,address,city,state,zipcode,unit_name,unit_id,price_raw,beds,baths,sqft,available_move_in_date,total_available_units,listing_url,scrape_date,scrape_timestamp
Rowat Lofts,"601 E Vine St,",Des Moines,IA,50309,S6 - Gypsum With Alcove,1-421,"price$1,069",0,1,551,availibilityNow,5,https://www.apartments.com/rowat-lofts-des-moines-ia/xc9bysq/,2025-05-05,2025-05-05T12:38:38.929601
Rowat Lofts,"601 E Vine St,",Des Moines,IA,50309,S6 - Gypsum With Alcove,1-129,"price$1,069",0,1,544,availibilityNow,5,https://www.apartments.com/rowat-lofts-des-moines-ia/xc9bysq/,2025-05-05,2025-05-05T12:38:38.929722
Rowat Lofts,"601 E Vine St,",Des Moines,IA,50309,S6 - Gypsum With Alcove,1-321,"price$1,069",0,1,551,availibilityNow,5,https://www.apartments.com/rowat-lofts-des-moines-ia/xc9bysq/,2025-05-05,2025-05-05T12:38:38.929822
Rowat Lofts,"601 E Vine St,",Des Moines,IA,50309,S2 - Quartz,1-405,"price$1,212",0,1,457,availibilityMay 7,5,https://www.apartments.com/rowat-lofts-des-moines-ia/xc9bysq/,2025-05-05,2025-05-05T12:38:38.929928
Rowat Lofts,"601 E Vine St,",Des Moines,IA,50309,S3 - Slate,1-213,"price$1,016",0,1,467,availibilityJun 7,5,https://www.apartments.com/rowat-lofts-des-moines-ia/xc9bysq/,2025-05-05,2025-05-05T12:38:38.930029
Rowat Lofts,"601 E Vine St,",Des Moines,IA,50309,S3 - Slate,1-338,"price$1,016",0,1,477,availibilityJul 7,5,https://www.apartments.com/rowat-lofts-des-moines-ia/xc9bysq/,2025-05-05,2025-05-05T12:38:38.930137
Rowat Lofts,"601 E Vine St,",Des Moines,IA,50309,S5 - Cinder,1-205,price$933,0,1,515,availibilityJun 16,5,https://www.apartments.com/rowat-lofts-des-moines-ia/xc9bysq/,2025-05-05,2025-05-05T12:38:38.930235
Rowat Lofts,"601 E Vine St,",Des Moines,IA,50309,A6 With Den - Ivory,1-119,"price$1,155",1,1,798,availibilityNow,5,https://www.apartments.com/rowat-lofts-des-moines-ia/xc9bysq/,2025-05-05,2025-05-05T12:38:38.930331
Rowat Lofts,"601 E Vine St,",Des Moines,IA,50309,A6 With Den - Ivory,1-327,"price$1,332",1,1,778,availibilityNow,5,https://www.apartments.com/rowat-lofts-des-moines-ia/xc9bysq/,2025-05-05,2025-05-05T12:38:38.930425
Rowat Lofts,"601 E Vine St,",Des Moines,IA,50309,A6 With Den - Ivory,1-328,"price$1,332",1,1,778,availibilityNow,5,https://www.apartments.com/rowat-lofts-des-moines-ia/xc9bysq/,2025-05-05,2025-05-05T12:38:38.930517
